,client_id,account_id,district_id,loan_id,amount,district_name
0,2166,1787,30,5314,96396,Sokolov
1,2181,1801,46,5316,165960,Nachod
2,11314,9188,45,6863,127080,Jicin
3,2235,1843,14,5325,105804,Ceske Budejovice
4,13490,10973,18,7235,154416,Pisek
5,12755,10364,55,7121,21924,Brno - venkov
6,8091,6701,5,6356,95400,Kolin
7,3264,2705,63,5523,93888,Vyskov
8,8598,7123,46,6456,47016,Nachod
9,11372,9236,11,6876,86616,Praha - zapad
10,3,2,1,4959,80952,Hl.m. Praha
11,2,2,1,4959,80952,Hl.m. Praha
12,3001,2486,1,5479,24516,Hl.m. Praha
13,1286,1071,52,5170,253200,Usti nad Orlici
14,13658,11111,59,7259,108144,Kromeriz
15,1944,1603,31,5285,78936,Tachov
16,1404,1166,11,5189,149040,Praha - zapad
17,9973,8073,24,6650,49320,Karlovy Vary
18,13447,10940,13,7226,197748,Rakovnik
19,13687,11135,75,7262,182628,Prerov
20,3252,2694,52,5519,91632,Usti nad Orlici
21,3251,2694,52,5519,91632,Usti nad Orlici
22,9273,7485,39,6520,91200,Most
23,10287,8330,48,6699,7656,Rychnov nad Kneznou
24,12396,10079,62,7055,167100,Uherske Hradiste
25,12397,10079,62,7055,167100,Uherske Hradiste
26,976,813,16,5130,24312,Jindrichuv Hradec
27,3543,2933,10,5568,272520,Praha - vychod
28,3542,2933,10,5568,272520,Praha - vychod
29,7815,6473,4,6316,76908,Kladno
30,9236,7454,31,6512,63312,Tachov
31,211,173,66,5002,104808,Zdar nad Sazavou
32,210,173,66,5002,104808,Zdar nad Sazavou
33,9946,8051,31,6647,208320,Tachov
34,12843,10439,66,7137,151560,Zdar nad Sazavou
35,7166,5927,15,6210,87216,Cesky Krumlov
36,13603,11065,46,7249,69360,Nachod
37,10555,8558,1,6736,288360,Hl.m. Praha
38,2195,1811,68,5319,239460,Frydek - Mistek
39,4056,3354,63,5657,4980,Vyskov
40,3335,2762,11,5533,111384,Praha - zapad
41,6318,5228,77,6066,173808,Vsetin
42,3414,2824,11,5549,50460,Praha - zapad
43,512,426,60,5060,252060,Prostejov
44,5965,4937,50,6004,143904,Svitavy
45,946,790,54,5126,208128,Brno - mesto
46,13412,10911,1,7220,131292,Hl.m. Praha
47,2635,2176,67,5395,299088,Bruntal
48,11195,9093,58,6836,189300,Jihlava
49,11574,9403,1,6919,120888,Hl.m. Praha
50,11208,9104,10,6841,172080,Praha - vychod
51,10510,8519,23,6729,74688,Cheb
52,10511,8519,23,6729,74688,Cheb
53,10199,8260,31,6686,224604,Tachov
54,3688,3050,49,5595,82896,Semily
55,3687,3050,49,5595,82896,Semily
56,4428,3674,38,5723,23628,Louny
57,5337,4427,1,5882,87816,Hl.m. Praha
58,4621,3834,54,5754,23052,Brno - mesto
59,9844,7965,55,6624,71460,Brno - venkov
60,9845,7965,55,6624,71460,Brno - venkov
61,7299,6040,1,6229,11736,Hl.m. Praha
62,11063,8982,64,6808,227880,Zlin
63,11064,8982,64,6808,227880,Zlin
64,1216,1012,65,5161,98184,Znojmo
65,2623,2167,16,5390,170256,Jindrichuv Hradec
66,7241,5991,57,6223,61056,Hodonin
67,352,290,56,5032,123696,Breclav
68,8610,7133,55,6460,48672,Brno - venkov
69,9933,8041,74,6645,140400,Ostrava - mesto
70,1327,1106,20,5176,192552,Strakonice
71,1851,1527,31,5269,164052,Tachov
72,2403,1978,1,5351,205200,Hl.m. Praha
73,2834,2345,52,5450,199680,Usti nad Orlici
74,7753,6425,70,6306,36684,Karvina
